Liga,Clube,Nome,Posição,Valor,URL
England,Brentford FC,Gustavo Nunes,Left Winger,1000000000,https://www.transfermarkt.com/fc-brentford/startseite/verein/1148/saison_id/2025
England,Brentford FC,Hákon Valdimarsson,Goalkeeper,250000000,https://www.transfermarkt.com/fc-brentford/startseite/verein/1148/saison_id/2025
England,Brentford FC,Igor Thiago,Centre-Forward,1800000000,https://www.transfermarkt.com/fc-brentford/startseite/verein/1148/saison_id/2025
England,Brentford FC,Jordan Henderson,Defensive Midfield,250000000,https://www.transfermarkt.com/fc-brentford/startseite/verein/1148/saison_id/2025
England,Brentford FC,Keane Lewis-Potter,Left Winger,2300000000,https://www.transfermarkt.com/fc-brentford/startseite/verein/1148/saison_id/2025
England,Brentford FC,Kevin Schade,Left Winger,3000000000,https://www.transfermarkt.com/fc-brentford/startseite/verein/1148/saison_id/2025
England,Brentford FC,Kristoffer Ajer,Centre-Back,1800000000,https://www.transfermarkt.com/fc-brentford/startseite/verein/1148/saison_id/2025
England,Brentford FC,Mathias Jensen,Central Midfield,1400000000,https://www.transfermarkt.com/fc-brentford/startseite/verein/1148/saison_id/2025
England,Brentford FC,Matthew Cox,Goalkeeper,800000,https://www.transfermarkt.com/fc-brentford/startseite/verein/1148/saison_id/2025
England,Brentford FC,Michael Kayode,Right-Back,1800000000,https://www.transfermarkt.com/fc-brentford/startseite/verein/1148/saison_id/2025
England,Brentford FC,Mikkel Damsgaard,Attacking Midfield,2800000000,https://www.transfermarkt.com/fc-brentford/startseite/verein/1148/saison_id/2025
England,Brentford FC,Myles Peart-Harris,Attacking Midfield,900000,https://www.transfermarkt.com/fc-brentford/startseite/verein/1148/saison_id/2025
England,Brentford FC,Nathan Collins,Centre-Back,2800000000,https://www.transfermarkt.com/fc-brentford/startseite/verein/1148/saison_id/2025
England,Brentford FC,Paris Maghoma,Central Midfield,800000,https://www.transfermarkt.com/fc-brentford/startseite/verein/1148/saison_id/2025
England,Brentford FC,Reiss Nelson,Left Winger,1600000000,https://www.transfermarkt.com/fc-brentford/startseite/verein/1148/saison_id/2025
England,Brentford FC,Rico Henry,Left-Back,1500000000,https://www.transfermarkt.com/fc-brentford/startseite/verein/1148/saison_id/2025
England,Brentford FC,Romelle Donovan,Right Winger,800000,https://www.transfermarkt.com/fc-brentford/startseite/verein/1148/saison_id/2025
England,Brentford FC,Sepp van den Berg,Centre-Back,2200000000,https://www.transfermarkt.com/fc-brentford/startseite/verein/1148/saison_id/2025
England,Brentford FC,Vitaly Janelt,Defensive Midfield,2000000000,https://www.transfermarkt.com/fc-brentford/startseite/verein/1148/saison_id/2025
England,Brentford FC,Yegor Yarmolyuk,Central Midfield,1500000000,https://www.transfermarkt.com/fc-brentford/startseite/verein/1148/saison_id/2025
England,Brentford FC,Yunus Konak,Defensive Midfield,450000000,https://www.transfermarkt.com/fc-brentford/startseite/verein/1148/saison_id/2025
England,Brighton & Hove Albion,Adam Webster,Centre-Back,1100000000,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2025
England,Brighton & Hove Albion,Bart Verbruggen,Goalkeeper,3000000000,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2025
England,Brighton & Hove Albion,Brajan Gruda,Right Winger,2500000000,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2025
England,Brighton & Hove Albion,Carlos Baleba,Defensive Midfield,4000000000,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2025
England,Brighton & Hove Albion,Charalampos Kostoulas,Centre-Forward,1200000000,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2025
England,Brighton & Hove Albion,Danny Welbeck,Centre-Forward,500000000,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2025
England,Brighton & Hove Albion,Diego Coppola,Centre-Back,1000000000,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2025
England,Brighton & Hove Albion,Diego Gómez,Central Midfield,1400000000,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2025
England,Brighton & Hove Albion,Ferdi Kadıoğlu,Left-Back,2500000000,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2025
England,Brighton & Hove Albion,Georginio Rutter,Centre-Forward,3200000000,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2025
England,Brighton & Hove Albion,Jack Hinshelwood,Defensive Midfield,2400000000,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2025
England,Brighton & Hove Albion,James Milner,Central Midfield,100000000,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2025
England,Brighton & Hove Albion,Jan Paul van Hecke,Centre-Back,3200000000,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2025
England,Brighton & Hove Albion,Jason Steele,Goalkeeper,150000000,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2025
England,Brighton & Hove Albion,Joël Veltman,Right-Back,400000000,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2025
England,Brighton & Hove Albion,Kaoru Mitoma,Left Winger,4000000000,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2025
England,Brighton & Hove Albion,Lewis Dunk,Centre-Back,600000000,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2025
England,Brighton & Hove Albion,Mats Wieffer,Defensive Midfield,2500000000,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2025
England,Brighton & Hove Albion,Maxim De Cuyper,Left-Back,1600000000,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2025
England,Brighton & Hove Albion,Olivier Boscagli,Centre-Back,2000000000,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2025
England,Brighton & Hove Albion,Solly March,Right Winger,600000000,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2025
England,Brighton & Hove Albion,Stefanos Tzimas,Centre-Forward,2200000000,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2025
England,Brighton & Hove Albion,Tom McGill,Goalkeeper,600000,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2025
England,Brighton & Hove Albion,Tom Watson,Left Winger,800000000,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2025
England,Brighton & Hove Albion,Yankuba Minteh,Right Winger,3000000000,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2025
England,Brighton & Hove Albion,Yasin Ayari,Central Midfield,2200000000,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2025
England,Burnley FC,Armando Broja,Centre-Forward,1200000000,https://www.transfermarkt.com/fc-burnley/startseite/verein/1132/saison_id/2025
England,Burnley FC,Ashley Barnes,Centre-Forward,250000,https://www.transfermarkt.com/fc-burnley/startseite/verein/1132/saison_id/2025
England,Burnley FC,Axel Tuanzebe,Right-Back,500000000,https://www.transfermarkt.com/fc-burnley/startseite/verein/1132/saison_id/2025
England,Burnley FC,Bashir Humphreys,Left-Back,700000000,https://www.transfermarkt.com/fc-burnley/startseite/verein/1132/saison_id/2025
England,Burnley FC,Connor Roberts,Right-Back,450000000,https://www.transfermarkt.com/fc-burnley/startseite/verein/1132/saison_id/2025
England,Burnley FC,Enock Agyei,Right Winger,600000,https://www.transfermarkt.com/fc-burnley/startseite/verein/1132/saison_id/2025
England,Burnley FC,Florentino,Defensive Midfield,2200000000,https://www.transfermarkt.com/fc-burnley/startseite/verein/1132/saison_id/2025
England,Burnley FC,Hannes Delcroix,Centre-Back,350000000,https://www.transfermarkt.com/fc-burnley/startseite/verein/1132/saison_id/2025
England,Burnley FC,Hannibal,Attacking Midfield,1200000000,https://www.transfermarkt.com/fc-burnley/startseite/verein/1132/saison_id/2025
England,Burnley FC,Hjalmar Ekdal,Centre-Back,450000000,https://www.transfermarkt.com/fc-burnley/startseite/verein/1132/saison_id/2025
England,Burnley FC,Jacob Bruun Larsen,Left Winger,500000000,https://www.transfermarkt.com/fc-burnley/startseite/verein/1132/saison_id/2025
England,Burnley FC,Jaidon Anthony,Left Winger,900000000,https://www.transfermarkt.com/fc-burnley/startseite/verein/1132/saison_id/2025
England,Burnley FC,Jaydon Banel,Left Winger,100000000,https://www.transfermarkt.com/fc-burnley/startseite/verein/1132/saison_id/2025
England,Burnley FC,Joe Worrall,Centre-Back,500000000,https://www.transfermarkt.com/fc-burnley/startseite/verein/1132/saison_id/2025
England,Burnley FC,Jordan Beyer,Centre-Back,600000000,https://www.transfermarkt.com/fc-burnley/startseite/verein/1132/saison_id/2025
England,Burnley FC,Josh Cullen,Defensive Midfield,650000000,https://www.transfermarkt.com/fc-burnley/startseite/verein/1132/saison_id/2025
England,Burnley FC,Josh Laurent,Central Midfield,180000000,https://www.transfermarkt.com/fc-burnley/startseite/verein/1132/saison_id/2025
England,Burnley FC,Kyle Walker,Right-Back,400000000,https://www.transfermarkt.com/fc-burnley/startseite/verein/1132/saison_id/2025
England,Burnley FC,Lesley Ugochukwu,Defensive Midfield,1800000000,https://www.transfermarkt.com/fc-burnley/startseite/verein/1132/saison_id/2025
England,Burnley FC,Loum Tchaouna,Right Winger,1000000000,https://www.transfermarkt.com/fc-burnley/startseite/verein/1132/saison_id/2025
England,Burnley FC,Lucas Pires,Left-Back,500000000,https://www.transfermarkt.com/fc-burnley/startseite/verein/1132/saison_id/2025
England,Burnley FC,Lyle Foster,Centre-Forward,600000000,https://www.transfermarkt.com/fc-burnley/startseite/verein/1132/saison_id/2025
England,Burnley FC,Marcus Edwards,Right Winger,1200000000,https://www.transfermarkt.com/fc-burnley/startseite/verein/1132/saison_id/2025
England,Burnley FC,Martin Dúbravka,Goalkeeper,100000000,https://www.transfermarkt.com/fc-burnley/startseite/verein/1132/saison_id/2025
England,Burnley FC,Max Weiß,Goalkeeper,400000000,https://www.transfermarkt.com/fc-burnley/startseite/verein/1132/saison_id/2025
England,Burnley FC,Maxime Estève,Centre-Back,2000000000,https://www.transfermarkt.com/fc-burnley/startseite/verein/1132/saison_id/2025
England,Burnley FC,Mike Tresor,Left Winger,500000000,https://www.transfermarkt.com/fc-burnley/startseite/verein/1132/saison_id/2025
England,Burnley FC,Oliver Sonne,Right-Back,270000000,https://www.transfermarkt.com/fc-burnley/startseite/verein/1132/saison_id/2025
England,Burnley FC,Quilindschy Hartman,Left-Back,1400000000,https://www.transfermarkt.com/fc-burnley/startseite/verein/1132/saison_id/2025
England,Burnley FC,Václav Hladký,Goalkeeper,300000,https://www.transfermarkt.com/fc-burnley/startseite/verein/1132/saison_id/2025
England,Burnley FC,Zeki Amdouni,Centre-Forward,1200000000,https://www.transfermarkt.com/fc-burnley/startseite/verein/1132/saison_id/2025
England,Burnley FC,Zian Flemming,Centre-Forward,650000000,https://www.transfermarkt.com/fc-burnley/startseite/verein/1132/saison_id/2025
England,Chelsea FC,Alejandro Garnacho,Left Winger,4500000000,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2025
England,Chelsea FC,Andrey Santos,Central Midfield,3500000000,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2025
England,Chelsea FC,Axel Disasi,Centre-Back,2200000000,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2025
England,Chelsea FC,Benoît Badiashile,Centre-Back,2200000000,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2025
England,Chelsea FC,Cole Palmer,Attacking Midfield,12000000000,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2025
England,Chelsea FC,Dário Essugo,Defensive Midfield,2000000000,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2025
